name,description,date,location,Image
Black Hat - USA,"Black Hat is the most technical and relevant global information security event series in the world. For more than 16 years, Black Hat has provided attendees with the very latest in information security research, development, and trends in a strictly vendor-neutral environment. These high-profile global events and Trainings are driven by the needs of the security community, striving to bring together the best minds in the industry. Black Hat inspires professionals at all career levels, encouraging growth and collaboration among academia, world-class researchers, and leaders in the public and private sectors. From its inception in 1997, Black Hat has grown from a single annual conference in Las Vegas to the most respected information security event series internationally. Today, the Black Hat Briefings and Trainings are held annually in the United States, Europe and Asia, providing a premier venue for elite security researchers and trainers to find their audience.",1/8/2015,"Las Vegas, Nevada, United States",
The Annual Symposium on Information Assurance (ASIA),"ASIA is a two-day event that attracts practitioners, researchers, and vendors providing opportunities for business and intellectual engagement among attendees. ASIA '15 will be held at the Governor Nelson A. Rockefeller Empire State Plaza Convention Center, Albany, NY 12242 on June 2-3, 2015. Through generous sponsorships, we are able to have free registration for all selected presenters, authors of accepted papers, and members of government organizations. All people who participate in ASIA are able to attend the rest of the NYSCSC sessions that typically cover practical applications of information security.",2/6/2015,"Albany, New York, United States",
SSTIC,"The SSTIC deals with all areas of security of information systems (system, network, software, hardware, encryption, malware, etc.), both in terms of the defense of the analysis. The conference focuses on technical and / or scientific contributions, but those relating to legal, regulatory or organizational aspects can also be considered. Demonstrations and proofs of concepts are encouraged. Serious and comprehensive analysis of a product or comparative based on reproducible tests are examined. However, the articles to promote a product are not accepted.",3/6/2015,"Rennes, France",
International Cryptographic Module Conference (ICMC),"The International Cryptographic Module Conference is a growing forum for global expertise in commercial cryptography. At the third annual edition of the conference this fall, industry leaders from over 20 countries will convene to address the unique challenges faced by those who produce, use, and test cryptographic modules that conform with standards such as FIPS 140-2 and ISO/IEC 19790. The conference helps to foster a focused, organized community of users. ICMC covers the technical design problems to meet the standard, with a particular emphasis on the challenges posed as technology advances with respect to the current standards.",4/11/2015,"Washington D.C., United States",
RootedCON,"Congress in Madrid which brings together more than 1,000 computer security enthusiasts. Rooted CON born with the purpose of promoting the exchange of knowledge between members of the security community, including claiming the enormous capacity of the Spanish-speaking professionals.",5/3/2015,"Madrid, Spain",http://1.bp.blogspot.com/-yyZAnyLz5nE/VNsOqOwdWXI/AAAAAAAAGGU/tc-bKV48GZY/s1600/rooted.jpg
nullcon Security Conference,"Nullcon was founded in 2010 with the idea of providing an integrated platform for exchanging information on the latest attack vectors, zero day vulnerabilities and unknown threats. Our motto - ""The neXt security thing!"" drives the objective of the conference i.e. to discuss and showcase the future of information security and the next-generation of offensive and defensive security technology. The idea started as a gathering for researchers and organizations to brain storm and demonstrate why the current technology is not sufficient and what should be the focus for the coming years pertaining to information security. In addition to security, one of the section of the conference called Desi Jugaad (Hindi for ""Local Hack"") is dedicated to hacking where we invite researchers who come up with innovative security/tech/non-tech solutions for solving real life challenges or taking up new initiatives.",6/2/2015,"Goa, India",
DEF CON,"Originally started in 1993, it was a meant to be a party for member of ""Platinum Net"", a Fido protocol based hacking network out of Canada. As the main U.S. hub I was helping the Platinum Net organizer (I forget his name) plan a closing party for all the member BBS systems and their users. He was going to shut down the network when his dad took a new job and had to move away. We talking about where we might hold it, when all of a sudden he left early and disappeared. I was just planning a party for a network that was shut down, except for my U.S. nodes. I decided what the hell, I'll invite the members of all the other networks my BBS (A Dark Tangent System) system was a part of including Cyber Crime International (CCI), Hit Net, Tired of Protection (ToP), and like 8 others I can't remember. Why not invite everyone on #hack? Good idea!",6/8/2015,"Las Vegas, Nevada, United States",https://www.defcon.org/images/defcon-22/G-Plus-Hangouts.png
Annual Computer Security Applications Conference (ACSAC),"ACSAC has a tradition of bringing together security professionals from academia, government and industry who are interested in applied security. It is an internationally recognized forum where practitioners, researchers, and developers in information system security meet to learn and to exchange practical ideas and experiences. Started in 1984, the conference has grown over the years to achieve worldwide attendance and recognition for the high quality of its presentations, discussions, and interactions.",7/12/2015,"Los Angeles, California, United States",
Network & Distributed System Security Symposium (NDSS),"This three day conference brought together innovative and forward thinking members of the Internet community including leading-edge security researchers and implementers, globally-recognized security-technology experts, and users from both the private and public sectors who design, develop, exploit, and deploy the technologies that define network and distributed system security.",8/2/2015,"San Francisco, California, United States",
The International Conference on Security of Information and Networks (SIN ACM),"The 8th International Conference on Security of Information and Networks (SIN 2015) provides an international forum for presentation of research and applications of security in information and networks. SIN 2015 features contributed as well as invited papers, special sessions, workshops, and tutorials on theory and practice. Its drive is to convene a high quality, well-attended, and up-to-date conference on scientific and technical issues of security in information, networks, and systems. One day before the conference is reserved for Workshop and Tutorial proposals, if any. Main conference days are September 8-10, 2015. Conference days are reserved for invited talks by keynote speakers, presentations of contributed papers, special sessions, and social program. Pre- and post-conference social programs will be available as well.",8/9/2015,"Sochi, Russia",
